title,content,label,media
"Prediksi Barcelona vs Osasuna LaLiga 2023, H2H, Live di Mana?","tirto.id - Prediksi Barcelona vs Osasuna di laga awal pekan 33 LaLiga 2023 mengarah pada kemenangan El Barca yang berambisi segera menyegel gelar juara Liga Spanyol 2022/2023. 



Laga Barcelona vs Osasuna tayang via live streaming Vidio (kanal beIN Sports 3) pada Rabu, 3 Mei 2023, mulai pukul 00.30 WIB dini hari. Pertandingan Liga Spanyol 2023 di Stadion Spotify Camp Nou ini juga bisa disaksikan melalui siaran live beIN Sports Connect. 



Barcelona layak menjadi unggulan setelah meraih kemenangan 4-0 atas Real Betis di akhir pekan lalu. Kemenangan itu menjaga keunggulan 11 poin atas Real Madrid di peringkat 2. Dengan sisa 6 laga, setidaknya Barca butuh 3 kemenangan lagi untuk menjadi juara LaLiga 2022/2023.



Osasuna juga sedang dalam kondisi tak bagus. Mereka kalah dari Real Sociedad akhir pekan lalu di kandang sendiri. Kekalahan 0-2 itu membuat mereka semakin sulit memburu tiket kompetisi Eropa musim depan.




Prediksi Barcelona vs Osasuna LaLiga 2023
Kemenangan Barcelona atas Betis di laga terakhir berarti penting bagi Xavi Hernandez dan anak asuhnya. Sebelumnya mereka kalah di markas Rayo Vallecano. Apalagi di pekan 32 kemarin Real Madrid terlebih dulu mengalahkan Almeria 4-2 sehingga jarak sempat merapat menjadi 8 poin.Kini Barcelona hanya butuh 3 kemenangan lagi untuk menyegel gelar. Tiga kemenangan itu bisa mereka dapatkan saat melawan Osasuna, Espanyol, dan Real Sociedad. Kans menyabet gelar juara LaLiga semakin besar bagi El Barca karena Real Madrid bakal terpecah fokusnya menjelang laga semifinal Liga Champions 2022/2023 melawan Manchester City.""Ini (kemenangan atas Betis) langkah besar untuk memenangkan liga. Pemain juga membuktikan bisa memperbaiki perfoma setelah kalah melawan Rayo Vallecano. Kami bermain bagus terutama di 25 menit pertama sebelum ada kartu merah bagi pemain lawan,"" kata Xavi melalui Barca TV.
Baca juga:

Sevilla vs Girona Liga Spanyol 2023: Jadwal, Prediksi, H2H, Live
Prediksi Sociedad vs Real Madrid Liga Spanyol 2023, H2H, Live


Osasuna di sisi lain sedang terpuruk setelah kalah dari Sociedad dalam laga kandang pekan lalu. Akibat kekalahan itu, mereka masih terpaku di posisi 8 dengan 44 poin. Mereka gagal merapatkan jarak dengan Betis di urutan 6 yang tetap mengoleksi 49 poin karena dikalahkan Barcelona.Perjuangan Osasuna untuk lolos ke Eropa akan bertambah berat. Apalagi, setelah melawan Barca, di 6 laga sisa musim ini, mereka harus bertemu sejumlah tim papan atas, seperti Real Madrid dan Atletico Madrid. Meskipun begitu, pelatih Osasuna, Jagoba Arrasate mengaku tidak risau dengan tantangan timnya di akhir kompetisi. Ia menegaskan skuadnya akan tetap berupaya meraih hasil terbaik, termasuk saat melawan Barcelona.""Dulu di awal musim memang sangat berbahaya jika kami mengobral mimpi untuk lolos ke Eropa. Tapi usaha kami untuk mewujudkan mimpi itu sangat luar biasa. Saya pikir kami bakal berusaha membuktikannya di laga ini (lawan Sociedad),"" ujar Arrasate, dikutip dari laman resmi Osasuna.
Prediksi Susunan Pemain Barcelona vs Osasuna
Rotasi pemain bisa jadi akan dilakukan oleh Xavi di laga ini. Ousmane Dembele berpeluang turun sebagai starter menggantikan Raphinha. Begitu juga dengan Ferran Torres yang tenaganya bugar karena tak dimainkan saat Barca melawan Real Betis.Di kubu Osasuna, Arrasate bisa menurunkan skuad terbaik yang dimilikinya. Para pemain seperti Jon Moncayola, Aimar Oroz, dan Ante Budimir berpeluang masuk lapangan sejak menit awal.Prediksi susunan pemain Barcelona vs Osasuna adalah sebagai berikut:Barcelona (4-3-3): Marc-Andre ter Stegen; Jules Kounde, Ronald Araujo, Andreas Christensen, Alejandro Balde; Sergio Busquets, Frenkie De Jong, Pedri; Ferran Torres, Ousmane Dembele, Robert Lewandowski. Pelatih: Xavi Hernandez.Osasuna (4-2-3-1): Aitor Fernandez; Nacho Vidal, Aridane Hernandez, David Garcia, Juan Cruz; Jon Moncayola, Aimar Oroz; Ruben Garcia, Kike Barja; Moi Gomez, Ante Budimir. Pelatih: Jagoba Arrasate.
Head to Head (H2H) Barcelona vs Osasuna
Fakta menarik dari catatan away Osasuna ke Camp Nou adalah mereka selalu menjadi lumbung gol Barcelona di 7 kekalahan terakhir di sana. Dari 8 perjumpaan terakhir kedua tim di Camp Nou, Osasuna kalah dengan skor 8-0 (2011/2012), 5-1 (2012/2013), 7-0 (2013/2014), 7-1 (2016/2017), 4-0 (2020/2021), dan 4-0 (2021/2022) saat pertandingan LaLiga. Barcelona juga pernah menghajar Osasuna 4-0 (2011/2012) di Copa del Rey.Namun, Osasuna juga pernah mencuri 1 kemenangan atas Barcelona. Tepatnya di LaLiga musim 2019/2020 dengan skor 1-2.Data head to head Barcelona vs Osasuna dari 5 pertemuan terakhir juga menunjukkan keunggulan Blaugrana. Dari 5 laga, Barcelona meraih 4 kemenangan dengan 3 kali clean sheet.5 Pertemuan Terakhir Barcelona vs Osasuna:08-11-2022: Osasuna vs Barcelona 1-213-03-2022: Barcelona vs Osasuna 4-012-12-2021: Osasuna vs Barcelona 2-206-03-2021: Osasuna vs Barcelona 0-229-11-2020: Barcelona vs Osasuna 4-05 Pertandingan Terakhir Barcelona:30-04-2023: Barcelona vs Real Betis 4-027-04-2023: Rayo Vallecano vs Barcelona 2-123-04-2023: Barcelona vs Atletico Madrid 1-016-04-2023: Getafe vs Barcelona 0-011-04-2023: Barcelona vs Girona 0-05 Pertandingan Terakhir Osasuna:29-04-2023: Osasuna vs Real Sociedad 0-226-04-2023: Cadiz vs Osasuna 0-122-04-2023: Osasuna vs Real Betis 3-215-04-2023: Rayo Vallecano vs Osasuna 2-108-04-2023: Osasuna vs Elche 2-1
Live Streaming Barcelona vs Osasuna LaLiga 2023
Live streaming Barcelona vs Osasuna dapat Anda saksikan melalui live streaming Vidio dan beIN Sports Connect, pada Rabu, 3 Mei 2023, mulai pukul 00.30 WIB.Untuk menonton pertandingan LaLiga 2022/2023 di beIN Sports Connect, Anda bisa memilih paket berlangganan 1 Minggu (Rp20.000), Bulanan (Rp45.000), serta Paket Promo 1 Tahun (Rp339.000 dan Rp359.000).Paket berlangganan juga dapat dibeli untuk menonton pertandingan LaLiga di Vidio (kanal beIN Sports 3. Tersedia paket langganan Premier Platinum dengan piliha Platinum (Rp29.000/bulan) dan Platinum 1 (Rp199.000/tahun) di Vidio. Link LIVE Streaming Barcelona vs Osasuna di VIDIOLink LIVE Streaming Barcelona vs Osasuna di beIN SPORTS*Jadwal siaran langsung Barcelona vs Osasuna di Liga Spanyol 2022/2023 dapat berubah sewaktu-waktu sesuai dengan kebijakan pemegang hak siar.",olahraga,Tirto.ID
Anies Usai Penetapan Prabowo-Gibran: Catatan di MK Tak Boleh Dilupakan,"Hal itu ia sampaikan usai menghadiri penetapan Prabowo Subianto-Gibran Rakabuming Raka sebagai presiden dan wakil presiden terpilih periode 2024-2029.""Kami juga mengingatkan bahwa catatan yang disampaikan oleh Mahkamah Konstitusi tidak boleh dilupakan dan itu harus dilaksanakan,"" kata Anies di Kantor KPU RI, Jakarta Pusat, Rabu (24/4).Anies mengatakan catatan tersebut harus dilaksanakan sebagai kunci perbaikan kualitas demokrasi di Indonesia.Ia pun menyebut ragam penyimpangan dalam Pilpres 2024 yang dibahas di MK wajib diperhatikan untuk diperbaiki di masa depan.""Banyak catatan-catatan dari sana, yang itu merupakan salah satu kunci untuk perbaikan mutu demokrasi kita ke depan,"" ujar Anies.""Berbagai macam penyimpangan yang muncul di dalam MK harus menjadi perhatian untuk kita koreksi bersama-sama,"" sambungnya.Hari ini KPU resmi menetapkan Prabowo-Gibran sebagai presiden dan wakil presiden terpilih dalam Pilpres 2024.Penetapan itu dituangkan dalam Keputusan KPU Nomor 504 Tahun 2024 tentang Penetapan Calon Presiden dan Wakil Presiden Terpilih dalam Pemilu Tahun 2024.Penetapan itu kembali dilakukan setelah MK menolak seluruh gugatan dari pemohon. Namun, terdapat dissenting opinion atau pendapat berbeda dari tiga hakim konstitusi. Mereka yakni Saldi Isra, Arief Hidayat, dan Enny Nurbaningsih.Saldi Isra mengatakan telah terjadi ketidaknetralan sebagian penjabat kepala daerah yang menyebabkan pemilu berlangsung tidak jujur dan adil. Dia menilai dalil pemohon terkait politisasi bansos dan mobilisasi aparat/penyelenggara negara beralasan menurut hukum.Sementara, Enny Nurbaningsih mengatakan pemberian bansos oleh presiden menjelang pemilu berdampak pada para peserta pemilihan karena ada ketidaksetaraan. Dia meyakini telah terjadi ketidaknetralan pejabat yang sebagian berkelindan dengan pemberian bansos di beberapa daerah.Arief Hidayat menilai seharusnya dilakukan pemilihan ulang di beberapa daerah yakni di DKI Jakarta, Jawa Barat, Jawa Tengah, Jawa Timur, Bali dan Sumatera Utara.Meski ada perbedaan pendapat dari tiga hakim, putusan MK tetap bersifat final dan mengikat.",politik,CNN
Pentingnya Ibu Pahami Jenis Bahasa Kasih Sayang pada Anak dan Keluarga - Gaya Tempo.co,"TEMPO.CO, Jakarta - Dokter praktisi neuroparenting Aisah Dahlan mengatakan menjadi ibu cerdas perlu mengetahui bahasa kasih sayang yang digunakan untuk mengungkapkan rasa kasih sayang dan cinta pada orang lain.Aisah, dalam diskusi daring yang diikuti di Jakarta, Rabu 24 April 2024, mengatakan bahasa kasih sayang yang diibaratkan “baterai” bisa dilihat dari lima aspek yakni, kata pendukung, sentuhan fisik, waktu berkualitas bersama, pelayanan, dan hadiah yang harus dipenuhi sesuai kebutuhan anak.Baca Juga:Bocah 15 Tahun jadi Korban Persetubuhan Sang Kekasih, Ibunya Lapor Polisi “Otak sumber kerjanya listrik makanya ‘baterai’ harus penuh agar jalan ke sistem saraf dan dimintai tolong, arahan siap dijalankan, ‘baterai’ kasih sayang di charge dengan bahasa kasih sayang,” kata Aisah.Bahasa kasih sayang pada anak dan pasangan bisa berbeda, tergantung apa ‘baterai’ kasih sayang utamanya yang tertanam di otak mereka. Agar tidak kosong, baterai tersebut harus diisi minimal 3 kali seminggu agar anak maupun pasangan merasa nyaman saat bersama di rumah.Jika kosong, akan ada perilaku menyimpang yang mengindikasikan batas kritis kurangnya kasih sayang pada anak maupun pasangan.Baca Juga:Saksi Ungkap Sering Bayari Biaya Ulang Tahun Cucu Syahrul Yasin Limpo Pakai Uang KementanAisah mengatakan jika bahasa kasih sayang utamanya adalah kata-kata pendukung, maka seringlah beri pujian pada anak atau pasangan, selanjutnya bisa diikuti dengan sentuhan fisik seperti pelukan atau usapan untuk mengapresiasi.“Kalau tidak diisi anak akan jadi suka mengejek atau menjelekkan orang, kalau sentuhan fisik kosong anak akan jadi suka mencubit atau memukul,” katanya.Ia melanjutkan jika anak memiliki ‘baterai’ kasih sayang senang meluangkan waktu berkualitas, maka ibu bisa menemani anak dalam setiap kegiatannya. Hal itu akan sangat berarti pada anak meskipun tidak membutuhkan apresiasi atau kata-kata pendukung.Jika ‘baterai’ itu kosong, anak bisa jadi sering menyendiri dan sering mengunci diri di kamar seakan menghindar dari orang tua.Sementara anak yang memiliki bahasa kasih sayang dengan pelayanan (act of service), maka anak akan cenderung lebih loyal untuk memberikan bantuan tanpa diminta. “Jangan ditolak jika anak bahasa kasih sayangnya pelayanan dia akan senang sekali membantu, kalau baterai itu kosong anak jadi kasar saat meminta sesuatu dan menjadi pembuli,” katanya.Aisah mengatakan jika anak atau pasangan lebih senang memberi hadiah atau menunjukkan karyanya, apresiasi dengan menghargai apa yang diberikan, bisa dengan kata-kata positif atau dengan menyimpannya di tempat terbaik. Karena seseorang dengan bahasa kasih sayang Gift atau memberi hadiah akan merasa senang jika sesuatu yang ia berikan dipakai atau dihargai.“Kalau baterai ini kosong, bagi anak-anak akan menjadi pelit, tidak suka berbagi dan bisa jadi kleptomania,” ucap Aisah.‘Baterai’ kasih sayang ini, kata Aisah harus dipenuhi setiap hari pada anak yang baru lahir sampai usia 5 tahun, meskipun orang tua bekerja. Di atas 5 tahun orang tua sudah harus mengetahui bahasa kasih sayang mana yang menjadi bahasa utama anak dari kebiasaan sehari-hari anak.Pilihan Editor: Tak Perlu Mencari Cinta dari Luar, Ciptakan dari Dalam Diri dengan 5 Cara Berikut",hiburan,Tempo
"Di Sidang, Saksi Ungkap Ulang Tahun Cucu SYL Dirembes ke Kementan","Salah satunya adalah membayar bon dari acara ulang tahun cucu SYL dari anaknya Kemal Redindo.Hal itu disampaikan Isnar saat dihadirkan dalam sidang lanjutan kasus dugaan pemerasan dan penerimaan gratifikasi dengan terdakwa SYL selaku mantan Menteri Pertanian, eks Sekretaris Jenderal Kementan Kasdi Subagyono dan eks Direktur Alat dan Mesin Pertanian Direktorat Jenderal Prasarana dan Sarana Kementan Muhammad Hatta, di Pengadilan Tipikor Jakarta Pusat, Rabu (24/4).Dalam sidang, hakim bertanya selain putri SYL Indira Chunda Thita, siapa lagi keluarga SYL yang meminta uang kepadanya.""Selain anak Pak Menteri Thita, siapa lagi?"" tanya hakim""Putranya Pak Menteri, yang laki. Pak Dindo,"" jawab Isnar.Isnar mengatakan permintaan Redindo biasanya lewat mantan ajudan SYL, Panji Hartanto atau seseorang bernama Ali Andri yang disebut adalah kepercayaan Redindo.Ia menyebut selain diminta membayar jamuan makan, Ali Andri biasanya meminta pembayaran kebutuhan lain. Hakim bertanya apa kebutuhan yang dimaksud Isnar.""Apa?"" tanya hakim.""Ya kayak ulang tahun,"" jawab Isnar.""Maksudnya?"" tanya hakim lagi.""Putranya Bang Dindo ulang tahun gitu, minta dirembes ke kami,"" jawab Isnar lagi.Hakim kembali mendalami di mana ulang tahun cucu SYL biasanya digelar. Isnar menjawab di Makassar atau Jakarta.""Jadi saudara hanya menerima apa namanya itu?"" tanya hakim""Bon, siap,"" jawab Isnar.""Bon diserahkan Panji atau siapa?"" tanya hakim lagi.""Kadang-kadang diserahkan oleh Ubeid juga bisa, kadang-kadang Ali juga,"" ucap Isnar.Isnar mengaku beberapa kali menunda pembayaran bon. Ia pun mengaku beberapa kali ditegur Panji dan Ali akibat menunda pembayaran.""Apa teguran ke saudara?"" tanya hakim.""Kalau diulur-ulur marah itu Pak Dindonya itu. Nanti kamu bisa dipindah,"" ucap Isnar.Dalam kasus ini, SYL, bersama dua terdakwa lainnya, yaitu Sekretaris Jenderal Kementan Kasdi Subagyono dan Direktur Alat dan Mesin Pertanian Direktorat Jenderal Prasarana dan Sarana Kementan Muhammad Hatta, didakwa melakukan pemerasan dan penerimaan gratifikasi dalam jumlah yang signifikan selama periode 2020-2023.SYL didakwa melakukan pemerasan hingga mencapai Rp44.546.079.044 dan menerima gratifikasi dianggap suap sejumlah Rp40.647.444.494 selama periode 2020-2023",politik,CNN
"Phuket dan Pattaya Overtourism, Pelaku Usaha Pariwisata Thailand Usul Pajak Turis Rp132.000 - Travel Tempo.co","TEMPO.CO, Jakarta - Destinasi wisata populer Thailand, Phuket dan Pattaya, mengalami overtourism. Operator pariwisata Thailand mendesak pemerintah untuk serius membuat langkah-langkah untuk mengatasi overtourism, salah satu langkah yang diusulkan adalah pajak pariwisata sebesar 300 baht atau sekitar Rp132.000. Sekretaris jenderal Federasi Asosiasi Pariwisata Thailand (Fetta) Adith Chairattananon mengatakan, buku putih yang akan disampaikan federasi kepada pemerintah akan mencakup solusi untuk mencegah overtourism, seperti yang terlihat di Thailand sebelum pandemi. Menurut dia, ini sejalan dengan janji Perdana Menteri Thailand Srettha Thavisin untuk menjadikan tahun 2025 sebagai tahun penting bagi pariwisata. Baca Juga:Perang Saudara Myanmar: Kelompok Perlawanan Tarik Pasukan dari Perbatasan Thailand“Dengan proyeksi 40 juta wisatawan, destinasi utama seperti Phuket, Samui, dan Pattaya berada di ambang overtourism,” kata Adith, seperti dikutip Bangkok Post, Selasa, 23 April 2024.Selama musim ramai, Phuket telah mengalami kemacetan lalu lintas dan kekurangan air, sementara bandara internasionalnya kehabisan slot untuk maskapai penerbangan, katanya.Ia juga mengatakan salah satu strategi utama adalah menarik wisatawan dari pusat-pusat utama ke kota-kota sekunder di negara tersebut yang menawarkan banyak atraksi potensial dan ruang untuk mengakomodasi arus wisatawan dalam jumlah besar.Baca Juga:Gaet Turis Lebih Banyak, Thailand buat Perjanjian Bebas Visa Permanen dengan KazakhstanHarus ada insentif bagi maskapai penerbangan yang ingin mengoperasikan penerbangan langsung ke bandara provinsi seperti U-tapao, dan bandara yang melayani Khon Kaen dan Krabi, sarannya. Langkah ini dinilai akan mengurangi kemacetan di antara bandara seperti Bandara Phuket atau Bandara Suvarnabhumi dan akan membantu menciptakan peluang bisnis regional.Selain itu, otoritas terkait juga harus mempercepat konektivitas antara bandara dan pusat kota. Misalnya, kurangnya akses bus umum dari Bandara U-tapao ke kota Pattaya membuat maskapai baru enggan mengoperasikan penerbangan karena situasi saat ini tidak nyaman bagi penumpang.Sementara itu, Wakil Presiden Dewan Pariwisata Thailand (TCT) Surawat Akaraworamat mengatakan pemerintah harus mempertimbangkan kembali pengumpulan biaya pariwisata sebesar 300 baht untuk membantu mendanai pengembangan pariwisata.Surawat mengatakan dana tersebut dapat digunakan untuk pembangunan infrastruktur di provinsi-provinsi lapis kedua untuk menarik wisatawan dan memperbaiki atraksi-atraksi yang rusak akibat overtourism. Dia yakin bahwa pajak yang hanya sebesar Rp132.000 tidak akan menyurutkan semangat wisatawan asing untuk mengunjungi Thailand karena masih lebih murah dibandingkan dengan beberapa negara lain.Bukan hanya Thailand, destinasi populer di negara lain juga banyak yang memberlakukan pajak turis, termasuk Bali, Amsterdam, Venesia, dan Barcelona. BANGKOK POST | VN EXPRESSPilihan Editor: ",hiburan,Tempo
Ma'ruf Dukung Presiden Terpilih Prabowo Rangkul Semua Pihak ,"""Saya juga menyampaikan apresiasi kepada Presiden terpilih, Pak Prabowo yang akan merangkul semua pihak,"" kata Ma'ruf dalam keterangannya di sela kunjungan kerjanya di Bandung, Jawa Barat, Rabu ini.Ma'ruf menilai bakal ada kemungkinan perbedaan tugas yang diberikan presiden kepada wakil presiden yang baru nantinya. Meski begitu, ia berharap semuanya berjalan baik untuk capai tujuan majunya Indonesia.""Ketika saya ditugasi belum tentu sama dengan tugas wakil presiden yang baru yang ditugasi oleh presiden, ya itu nanti disesuaikan,"" ujar eks Ketua Umum MUI tersebut.Tak hanya itu, Ma'ruf juga mengimbau seluruh penggugat dan masyarakat Indonesia menerima keputusan menolak permohonan sengketa hasil Pilpres 2024 yang telah ditetapkan MK dengan lapang dada.Ia berharap pengumuman hasil putusan MK tidak memicu kegaduhan.Ma'ruf menekankan dengan berakhirnya sidang sengketa hasil Pilpres 2024 merupakan langkah awal seluruh masyarakat membangun negeri yang lebih maju""Dan saya mau terhadap para penggugat ya, Capres nomor 1 maupun nomor 3 yang menerima dengan baik hasil daripada keputusan Mahkamah Konstitusi,"" ucapnya.Selain itu, pada Rabu sore ini, Ma'ruf menerima kunjungan Wapres terpilih Gibran Rakabuming Raka.Ma'ruf menerima kunjungan putra sulung Presiden RI Joko Widodo (Jokowi) itu di Rumah Dinas Wapres, Jalan Diponegoro, Menteng, Jakarta Pusat.Gibran terlihat tiba di rumah dinas wapres itu sekitar pukul 15.51 WIB.Gibran datang dengan mengenakan batik bernuansa cokelat dan celana hitam. Ia didampingi Wakil Sekretaris TKN, Aminuddin Maruf.Ma'ruf menyambut Gibran di depan pintu rumah. Ia mengenakan kemeja putih.Setelah bersalaman, Gibran dan Ma'ruf langsung memasuki rumah dinas wapres. Belum diketahui maksud tujuan Gibran mengunjungi Ma'ruf.Gibran irit bicara dan hanya melemparkan senyum kepada awak media.",politik,CNN
Daftar 5 Resep Jus Detoks Enak untuk Minuman Diet Usai Lebaran,"tirto.id -  Libur Lebaran biasanya identik dengan makan makanan dan minuman enak usai menjalankan puasa Ramadhan selama sebulan penuh. Tidak jarang, orang akan kalap dan mengabaikan diet makan sehat selama periode ini.



Godaan sejumlah hidangan khas Lebaran seperti semur, opor ayam, rendang, sambal goreng ati, hingga kue-kue seperti nastar dan putri salju tentu tidak mudah untuk ditolak.



Makan dan minum enak selama momen Lebaran memang tidak ada salahnya. Namun, apabila dikonsumsi dengan berlebihan inilah yang acap menjadi penyebab pemicu beragam masalah kesehatan.



Oleh sebab itu, penting untuk semua orang tetap menjaga kesehatan tubuh setelah Lebaran dengan sejumlah cara. Laman The Healthy Muslims menganjurkan setiap orang setelah Lebaran untuk mengonsumsi makanan dan minuman sehat, memenuhi kebutuhan cairan, hingga kembali melakukan olahraga rutin.




5 Resep Jus Detoks Enak
Detoks adalah cara atau proses yang dilakukan oleh seseorang untuk menjauhkan diri dari atau membersihkan tubuh dari zat-zat beracun yang tidak sehat.Mengembalikan tubuh yang sehat setelah Lebaran bisa dilakukan dengan cara yang menyenangkan yaitu dengan meminum jus detoks enak, berikut resepnya melansir Times of India.1. Jus detoks hijau

2 buah apel hijau
3 batang seledri tanpa daun
1 mentimun
8 lembar daun kangkung
1 tangkai daun mint
1 potong kecil jahe

Cuci semua bahan-bahan di atas, lalu potong menjadi bagian kecil-kecil. Masukkan semua bahan ke dalam blender atau mesin pembuat jus. Tambahkan juga satu jus lemon. Tambahkan air sesuai kebutuhan. Blender hingga halus. Sajikan.2. Jus apel wortel

1 buah apel besar
½ cangkir potongan nanas
2 wortel besar
1 potong kecil jahe

Cuci bersih, lalu potong kecil-kecil semua bahan. Masukkan semua bahan ke dalam blender dan tambahkan air seperlunya. Blender hingga halus dan nikmatilah.3. Jus apel lemon

2 buah lemon
4 buah apel
2 buah mentimun

Kupas dan bersihkan semua buah, potong menjadi bagian yang lebih kecil. Lalu, tambahkan semuanya ke dalam blender, tambahkan satu cangkir air. Blender hingga halus dan nikmatilah.4. Jus ABC

2 buah lemon
2 buh wortel
2 buah apel
2 buah bit

Cuci semua bahan, buang semua kulitnya dan potong menjadi potongan berukuran 1-2 inci. Masukkan semua bahan ke dalam juicer. Blender hingga halus. Tuang ke dalam gelas favorit dan nikmati jus detoksifikasi favorit para selebriti yang lezat ini.5. Jus detoks jeruk

2 buah apel ukuran sedang
3 batang seledri
1 buah jeruk
2 buah pir ukuran sedang
1 buah ubi jalar ukuran 5 cm

Kupas semua bahan dan cuci dengan bersih. Kemudian, potong semua bahan menjadi bagian kecil. Lalu masukkan ke dalam blender dan haluskan. Tambahkan air jika diperlukan. Jus ini memiliki tekstur yang lembut karena bahan-bahan khusus yang kaya serat. Sebagai supaya tidak terlalu banyak ampas, saring terlebih dahulu jus sebelum dinikmati.
Baca juga:

10 Cara Social Media Detox dan Apa Saja Manfaatnya?
Tips dan Cara Detoksifikasi Racun Rokok dari Tubuh
Ketahui 4 Manfaat Melakukan Detoks Rumah Bagi Kesehatan

",hiburan,Tirto.ID
"AHY, Kaesang hingga Zulhas Tiba di KPU Lihat Penetapan Prabowo","Tak lama setelah itu, Menteri Perdagangan Zulkifli Hasan (Zulhas) juga tiba menggunakan blazer PAN berwarna biru. Setelah itu, datang pula Menteri Investasi Bahlil Lahadalia dan Menteri dalam Negeri Tito Karnavian.Setelah itu, tampak Ketua Umum PSI Kaesang Pangarep datang sekitar pukul 9.40 menggunakan kemeja berwarna putih.AHY, Hadi dan Bahlil langsung memasuki kantor KPU. Sementara pada pukul 9.39 WIB, Tito tampak masih berbincang-bincang dengan tim kuasa hukum 02 Prabowo Subianto dan Gibran Rakabuming Raka.AHY mengajukan cuti dari tugasnya sebagai Menteri ATR/BPN untuk menghadiri penetapan Prabowo Subianto sebagai presiden.Dalam jumpa pers di kantor partainya, AHY mengaku telah mendapat undangan untuk hadir dalam acara tersebut. Dia pun membawa sejumlah kadernya untuk hadir pada kesempatan tersebut.""Untuk itu hari ini saya sebenarnya mengambil cuti dalam posisi saya sebagai menteri ATR/Kepala BPN,"" kata AHY.Putra sulung mantan Presiden Susilo Bambang Yudhoyono (SBY) itu menyebut putusan MK terkait gugatan sengketa pilpres telah menjadi dasar Prabowo-Gibran sebagai presiden dan wakil presiden terpilih.AHY mengaku menghormati putusan para hakim MK yang dinilai tak mudah karena menghadapi berbagai tekanan politik. Namun, putusan tersebut penting sebagai sebagai kepastian hukum.""Keputusan MK tersebut telah memberikan kepastian hukum yang sangat kuat bagi pasangan Prabowo-Gibran sebagai Presiden dan wakil Presiden terpilih periode 2024-2029,"" katanya.",politik,CNN
Daftar 3 Tim Lolos Championship Series Liga 1,"Hingga Rabu (24/4) sore, sudah terdapat tiga tim yang lolos ke Championship Series Liga 1 2023/2024.Tim pertama yang dipastikan lolos ke Championship Series Liga 1 2023/2024 adalah Borneo FC.Borneo FC memastikan diri menjadi tim yang pertama lolos ke Championship Series Liga 1 2023/2024 usai mengunci juara Reguler Series Liga 1 2023/2024.Kemudian tim kedua yang lolos ke Championship Series Liga 1 2023/2024 adalah Persib Bandung.Persib berhasil mengamankan posisi runner up Reguler Series Liga 1 2023/2024 dan lolos ke Championship Series Liga 1.Kemudian tim ketiga yang baru lolos adalah Bali United.Kepastian itu didapat usai Bali United menang 2-0 atas Persebaya pada pertandingan pekan ke-33 Liga 1 2023/2024.Duel antara Persebaya vs Bali United digelar di Stadion Gelora Bung Tomo, Surabaya, Rabu (24/6).
Torehan 58 poin membuat Bali United dipastikan mengamankan tiket lolos ke Championship Series Liga 1 2023/2024.Kini masih ada satu tiket lolos Championship Series yang diperebutkan Madura United, PSIS Semarang, dan Dewa United.[Gambas:Video CNN]",olahraga,CNN
PDIP Promosikan Ganjar Pranowo sebagai Capres di Hari Buruh 2023,"tirto.id - Sekjen PDIP Hasto Kristiyanto menawarkan Ganjar Pranowo kepada kaum buruh sebagai capres 2024 yang diklaim sangat berpihak kepada kaum buruh. Hasto meyakini Ganjar akan menjalankan dan memperjuangkan visi buruh sesuai dengan ideologi PDIP yang diklaim berpihak kepada buruh, petani, dan nelayan.



""Bahkan terhadap calon presiden yang diusung PDI Perjuangan, Ganjar Pranowo, melalui visi misi yang akan disusun, dimana aspek ideologis hingga kebijakan pemerintah terhadap buruh menjadi salah satu hal yang sangat penting,"" ungkap Hasto dalam keterangannya pada Senin (1/5/2023). 



Hasto memahami UU Cipta Kerja yang diketuk palu Ketua DPR RI Puan Maharani menimbulkan pro dan kontra. PDIP, klaim Hasto siap menerima audiensi dengan organisasi dan serikat buruh untuk bersama mencari jalan keluarnya.



""Termasuk soal penerapan UU Cipta Kerja yang masih mendapatkan kritikan tajam,"" kata Hasto. 



Hasto juga menyadari bahwa partainya kerap disalahkan sebagai salah satu pembentuk UU Cipta Kerja, namun dia memaklumi bahwa hal itu adalah bagian dari bentuk ekspresi demokrasi. ""Di alam demokrasi yang tumbuh dengan baik saat ini di Indonesia, demo bisa menjadi instrumen untuk menyampaikan aspirasi dalam upaya kaum buruh mencapai kesejahteraan. Namun, diharapkan penyaluran aspirasi termasuk dengan demo dilakukan secara konstruktif dan tidak mengganggu,"" kata Hasto.
Baca juga:

Tuntutan Partai Buruh & Serikat Pekerja pada May Day 2023
May Day: PRT & Buruh Perempuan Tolak Kebijakan 'No Work, No Pay'
Kala Jakarta Masih jadi Magnet Perantau yang Ingin Mengadu Nasib


",politik,Tirto.ID
